State,Party,Name,DW Score,PVI
AL,D,JONES,-0.087,14
AL,R,SHELBY,0.429,14
AK,R,MURKOWSKI,0.211,9
AK,R,SULLIVAN,0.482,9
AZ,D,SINEMA,-0.102,5
AZ,R,McSALLY,0.345,5
AR,R,BOOZMAN,0.399,15
AR,R,COTTON,0.569,15
CA,D,HARRIS,-0.701,-12
CA,D,FEINSTEIN,-0.268,-12
CO,R,GARDNER,0.444,-1
CO,D,BENNET,-0.221,-1
CT,D,MURPHY,-0.275,-6
CT,D,BLUMENTHAL,-0.431,-6
DE,D,CARPER,-0.175,-6
DE,D,COONS,-0.226,-6
FL,R,RUBIO,0.569,2
FL,R,SCOTT,0.508,2
GA,R,ISAKSON,0.402,5
GA,R,PERDUE,0.566,5
GA,R,LOEFFLER,0.489,5
HI,D,HIRONO,-0.509,-18
HI,D,SCHATZ,-0.445,-18
ID,R,CRAPO,0.511,19
ID,R,RISCH,0.632,19
IL,D,DURBIN,-0.351,-7
IL,D,DUCKWORTH,-0.331,-7
IN,R,YOUNG,0.474,9
IN,R,BRAUN,0.8,9
IA,R,GRASSLEY,0.346,3
IA,R,ERNST,0.529,3
KS,R,ROBERTS,0.413,13
KS,R,MORAN,0.414,13
KY,R,McCONNELL,0.402,15
KY,R,PAUL,0.877,15
LA,R,CASSIDY,0.457,11
LA,R,KENNEDY,0.569,11
ME,D,KING,-0.154,-3
ME,R,COLLINS,0.112,-3
MD,D,CARDIN,-0.321,-12
MD,D,VAN HOLLEN,-0.39,-12
MA,D,MARKEY,-0.511,-12
MA,D,WARREN,-0.766,-12
MI,D,PETERS,-0.245,-1
MI,D,STABENOW,-0.341,-1
MN,D,KLOBUCHAR,-0.279,-1
MN,D,SMITH,-0.392,-1
MS,R,WICKER,0.376,9
MS,R,HYDE-SMITH,0.373,9
MO,R,BLUNT,0.426,9
MO,R,HAWLEY,0.575,9
MT,R,DAINES,0.552,11
MT,D,TESTER,-0.217,11
NE,R,FISCHER,0.473,14
NE,R,SASSE,0.798,14
NV,D,ROSEN,-0.278,-1
NV,D,CORTEZ MASTO,-0.37,-1
NH,D,SHAHEEN,-0.239,-1
NH,D,HASSAN,-0.24,-1
NJ,D,MENENDEZ,-0.365,-7
NJ,D,BOOKER,-0.609,-7
NM,D,HEINRICH,-0.324,-3
NM,D,UDALL,-0.453,-3
NY,D,SCHUMER,-0.358,-12
NY,D,GILLIBRAND,-0.473,-12
NC,R,BURR,0.45,3
NC,R,TILLIS,0.43,3
ND,R,CRAMER,0.387,17
ND,R,HOEVEN,0.341,17
OH,R,PORTMAN,0.373,3
OH,D,BROWN,-0.431,3
OK,R,INHOFE,0.556,20
OK,R,LANKFORD,0.59,20
OR,D,WYDEN,-0.328,-5
OR,D,MERKLEY,-0.444,-5
PA,R,TOOMEY,0.648,0
PA,D,CASEY,-0.312,0
RI,D,REED,-0.37,-10
RI,D,WHITEHOUSE,-0.359,-10
SC,R,SCOTT,0.637,8
SC,R,GRAHAM,0.406,8
SD,R,THUNE,0.41,14
SD,R,"ROUNDS,",0.405,14
TN,R,BLACKBURN,0.618,14
TN,R,ALEXANDER,0.324,14
TX,R,CORNYN,0.494,8
TX,R,CRUZ,0.82,8
UT,R,"LEE, Mike",0.914,20
UT,R,ROMNEY,0.382,20
VT,D,LEAHY,-0.361,-15
VT,D,SANDERS,-0.527,-15
VA,D,WARNER,-0.201,-1
VA,D,KAINE,-0.241,-1
WA,D,CANTWELL,-0.302,-7
WA,D,MURRAY,-0.351,-7
WV,R,CAPITO,0.262,19
WV,D,MANCHIN,-0.056,19
WI,D,BALDWIN,-0.497,0
WI,R,JOHNSON,0.606,0
WY,R,BARRASSO,0.541,25
WY,R,ENZI,0.545,25